SITE_HISTORY_ID,SITE_OLD_ID,SITE_NAME,SITE_PREVIOUS_NAME,SITE_BASIN,SITE_LOCATION,SITE_RIVMILE,SITE_HUC8,SITE_RIB_ID,SITE_STATION,SITE_DESC,SITE_LATITUDE,SITE_LONGITUDE,SITE_CITY_TOWN,SITE_COUNTY,SITE_FIPS_CDE,SITE_DEC_REGION,SITE_NHD_REACHCODE,SITE_NHD_M_VALUE,SITE_PWL_ID,SITE_WATERSHED_ID_NUM,SITE_WQ_STANDARD,SITE_ECO_REGION,SITE_HABITAT_TYPE,SITE_SITE_CONDITION,SITE_DRAINAGE,SITE_NTL_ELEVATION_DATASET_10
00-QAQC-0.0,NA,Not applicable (see SITE_DESC),NA,0,QAQC,0,NA,NA,NA,"Placeholder for field and lab chemistry QAQC samples without location information (e.g. trip blanks, historical unlabeled equipment/field blanks, and internal lab samples,).",NA,NA,NA,NA,NA,-9999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01-BEAM-0.1,2361,Beaver Meadow Creek,NA,1,BEAM,0.1,4120103,NA,1,80 m below rte 78.,42.67204,-78.43686,Java,Wyoming,121,9,NA,NA,0103-0004,E-1-55,C(T),7,NA,NA,29.89,319.1709
01-BELS-2.7,3331,Belson Creek,BELS-01 (pre-2017),1,BELS,2.7,4120101,NA,1,30 m below sr 76 culvert.,42.24472,-79.69724,Ripley,Chautauqua,13,9,NA,NA,0105-0003,E-96-3,C,7,NA,NA,15.29,343.8767
01-BELS_T5-0.6,42674988,Unnamed Tributary To Belson Creek,TBEL-0.6 (pre-2017),1,BELS_T5,0.6,4120101,NA,0.6,welch hill rd.,42.244911,-79.673637,Ripley,Chautauqua,13,9,NA,NA,0105-0031,Ont 158..E-96- 3,A,7,NA,NA,NA,416.9349
01-BERG-1.3,1457,Bergholtz Creek,BERG-01 (pre-2017),1,BERG,1.3,4120104,NA,1,10 m above williams rd. bridge.,43.09239,-78.94073,Wheatfield,Niagara,63,9,NA,NA,0101-0004,ONT-158-8-1,C,7,NA,NA,42.58,173.7971
01-BEVC-1.1,2363,Beaver Creek,NA,1,BEVC,1.1,4120101,NA,1,at west middle rd. bridge. just past airport.,42.50187,-79.2683,Sheridan,Chautauqua,13,9,NA,NA,0105-0016,E-31,C,7,NA,NA,18.22,197.958
01-BIND-1.9,2364,Big Indian Creek,NA,1,BIND,1.9,4120102,NA,1,20 m above wardtown rd. bridge.,42.51183,-79.0433,Perrysburg,Cattaraugus,9,9,NA,NA,0104-0073,E-23-5,C,7,NA,NA,9.76,260.9254
01-BLAS-0.1,3381,Blasdell Creek,BLAS-01 (pre-2017),1,BLAS,0.1,4120103,NA,1,50 m upstream of lake erie; woodlawn beach state park.,42.79824,-78.85486,Hamburg,Erie,29,9,NA,NA,0104-0038,E-2a,NA,7,NA,NA,NA,173.8349
01-BLKE-0.1,1424,Black Creek,BLKE-01 (pre-2016),1,BLKE,0.1,4120104,NA,1,smith rd. bridge.,43.05013,-78.7118,Amherst,Erie,29,9,NA,NA,0102-0004,ONT-158-12-6-3,C,7,NA,NA,38.75,174.551
01-BMAN-0.3,1425,Beeman Creek,BMAN-01 (pre-2016),1,BMAN,0.3,4120104,NA,1,10 m below rapids rd. bridge.,43.06947,-78.59766,Clarence,Erie,29,9,NA,NA,0102-0030,ONT-158-12-9,C,7,NA,NA,41.67,176.1384
