LAKE_HISTORY_ID,LOCATION_HISTORY_ID,MUNICIPALITY,DEC_REGION,DEC_REGION,LOCATION_PWL_ID,LOCATION_NAME,LOCATION_TYPE,LOCATION_X_COORDINATE,LOCATION_Y_COORDINATE,LOCATION_HORIZONTAL_METHOD,LOCATION_HORIZONTAL_DATUM,LOCATION_WATERBODY_CLASSIFICATION,MAJOR_BASIN_ID,US_L3CODE,US_L3NAME,NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,STATE_NAME,EPA_REGION,L3_KEY,L2_KEY,L1_KEY
0102ATT0020,0102ATT0020_C,Attica,9,Wyoming,0102-0039,ATTICA RESERVOIR CENTROID,CENTROID,-78.258202,42.830898,INTERPOLATION-OTHER,NAD83,A,1,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,60  Northern Allegheny Plateau,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0102ATT0020A,0102ATT0020A_C,Attica,9,Wyoming,0102-0040,ATTICA RESERVOIR CENTROID,CENTROID,-78.226601,42.7859,INTERPOLATION-OTHER,NAD83,A,1,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,60  Northern Allegheny Plateau,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0102DIV0015,0102DIV0015_C,Alabama,8,Genesee,0102-0035,DIVERS LAKE CENTROID,CENTROID,-78.399399,43.0411,INTERPOLATION-OTHER,NAD83,C,1,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,83  Eastern Great Lakes Lowlands,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0102FAU0021A,0102FAU0021A_C,Wethersfield,9,Wyoming,0102-0043,FAUN LAKE CENTROID,CENTROID,-78.287399,42.645199,INTERPOLATION-OTHER,NAD83,C,1,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,60  Northern Allegheny Plateau,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0102HAR5128,0102HAR5128_C,Darien,8,Genesee,NA,HARLOW LAKE CENTROID,CENTROID,-78.430702,42.905201,INTERPOLATION-OTHER,NAD83,NA,1,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,83  Eastern Great Lakes Lowlands,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0103ORC5454,0103ORC5454_C,Colden,9,Erie,0103-0016,ORCHARD PARK RESERVOIR CENTROID,CENTROID,-78.6511,42.690399,INTERPOLATION-OTHER,NAD83,A,1,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,60  Northern Allegheny Plateau,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0103UWB5479,0103UWB5479_C,Java,9,Wyoming,0103-0010,UNNAMED WATER CENTROID,CENTROID,-78.383003,42.669399,INTERPOLATION-OTHER,NAD83,C,1,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,60  Northern Allegheny Plateau,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0104CLE0100,0104CLE0100_C,North Collins,9,Erie,0104-0057,CLEAR LAKE CENTROID,CENTROID,-78.852997,42.553501,INTERPOLATION-OTHER,NAD83,A,1,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,60  Northern Allegheny Plateau,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0104CRY0147,0104CRY0147_C,Freedom,9,Cattaraugus,0104-0070,CRYSTAL LAKE CENTROID,CENTROID,-78.343399,42.463699,INTERPOLATION-OTHER,NAD83,B,1,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,60  Northern Allegheny Plateau,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
0104GRE5309,0104GRE5309_C,Orchard Park,9,Erie,0101-0038,GREEN LAKE CENTROID,CENTROID,-78.751404,42.757301,INTERPOLATION-OTHER,NAD83,B,1,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,2,83  Eastern Great Lakes Lowlands,8.1  MIXED WOOD PLAINS,8  EASTERN TEMPERATE FORESTS
