"","Station ID","Sampling Date","Conductivity (Umhos/cm)"
"1","01-BUFF-1.7",2017-06-14,"433"
"2","01-BUFF-1.7",2017-08-14,"456"
"3","01-TONA-19.4",2017-06-14,"741"
"4","01-TONA-19.4",2017-08-14,"737"
"5","01-TONA-19.4",2017-10-17,"502"
"6","02-ALG-20.3",2017-06-15,"2028"
"7","02-ALG-20.3",2017-08-15,"261"
"8","02-ALG-20.3",2017-10-19,"162.5"
"9","02-CHAD-2.2",2017-06-15,"321.89999999999998"
"10","02-CHAD-2.2",2017-08-15,"318"
"11","02-CHAD-2.2",2017-10-19,"181.7"
"12","03-EMIL-5.1",2017-06-14,"611"
"13","03-EMIL-5.1",2017-08-14,"628"
"14","03-EMIL-5.1",2017-10-17,"536"
"15","03-NRUP-3.1",2017-06-13,"695"
"16","03-NRUP-3.1",2017-08-14,"574"
"17","03-NRUP-3.1",2017-10-16,"638"
"18","03-SALM-12.0",2017-06-13,"54"
"19","03-SALM-12.0",2017-08-15,"67"
"20","03-SALM-12.0",2017-10-17,"61"
"21","04-GENS-2.6",2017-06-14,"685"
"22","04-GENS-2.6",2017-08-14,"675"
"23","04-GENS-2.6",2017-10-16,"514.20000000000005"
"24","04-RAGA-1.4",2017-06-13,"559"
"25","04-RAGA-1.4",2017-08-15,"523"
"26","04-RAGA-1.4",2017-10-17,"561"
"27","04-UGNS-137.8",2017-06-15,"137.9"
"28","04-UGNS-137.8",2017-10-19,"146"
"29","05-CDEA-1.8",2017-06-14,"486"
"30","05-CDEA-1.8",2017-08-16,"570"
"31","05-CDEA-1.8",2017-10-17,"571"
"32","06-SUSQ-31.4",2017-06-14,"227"
"33","06-SUSQ-31.4",2017-08-16,"308"
"34","06-SUSQ-31.4",2017-10-18,"321"
"35","06-TOGH-32.8",2017-06-14,"362"
"36","06-TOGH-32.8",2017-08-16,"456"
"37","06-TOGH-32.8",2017-10-18,"430"
"38","07-KEUK-0.3",2017-06-14,"465"
"39","07-KEUK-0.3",2017-08-16,"396"
"40","07-KEUK-0.3",2017-10-17,"457"
"41","07-ONON-1.0",2017-06-13,"2150"
"42","07-ONON-1.0",2017-08-15,"3805"
"43","07-ONON-1.0",2017-10-17,"3650"
"44","07-OSWE-5.2",2017-06-13,"504"
"45","07-OSWE-5.2",2017-08-15,"664"
"46","07-OSWE-5.2",2017-10-17,"526"
"47","08-BLCK-8.0",2017-06-12,"71.3"
"48","08-BLCK-8.0",2017-08-17,"101.5"
"49","08-BLCK-8.0",2017-10-17,"73.5"
"50","08-BLCK-84.5",2017-06-13,"54"
"51","08-BLCK-84.5",2017-08-15,"64"
"52","08-BLCK-84.5",2017-10-17,"70"
"53","08-CHEM-5.4",2017-06-13,"403"
"54","08-CHEM-5.4",2017-08-16,"445"
"55","08-CHEM-5.4",2017-10-17,"463"
"56","09-GRAS-7.8",2017-06-12,"85.8"
"57","09-GRAS-7.8",2017-08-17,"150.9"
"58","09-GRAS-7.8",2017-10-17,"66.599999999999994"
"59","09-GTCH-17.7",2017-06-12,"61.9"
"60","09-GTCH-17.7",2017-08-17,"121.8"
"61","09-GTCH-17.7",2017-10-17,"58.8"
"62","09-LSAL-7.6",2017-06-13,"159.5"
"63","09-LSAL-7.6",2017-08-16,"154.9"
"64","09-LSAL-7.6",2017-10-18,"162.6"
"65","10-BOQT-2.6",2017-06-12,"125.8"
"66","10-BOQT-2.6",2017-08-17,"202.4"
"67","10-BOQT-2.6",2017-10-19,"185.2"
"68","10-SABL-14.6",2017-06-12,"79.8"
"69","10-SABL-14.6",2017-08-17,"130.80000000000001"
"70","10-SABL-14.6",2017-10-19,"107.8"
"71","10-SARA-0.4",2017-06-12,"88.1"
"72","10-SARA-0.4",2017-08-17,"100.4"
"73","10-SARA-0.4",2017-10-19,"101.5"
"74","11-UHUD-267.8",2017-06-20,"44.8"
"75","11-UHUD-267.8",2017-08-14,"109.9"
"76","11-UHUD-42.5",2017-06-20,"94.3"
"77","11-UHUD-42.5",2017-08-14,"117.8"
"78","12-MOHK-1.5",2017-08-17,"323.39999999999998"
