"LAKE_HISTORY_ID","LOCATION_X_COORDINATE","LOCATION_Y_COORDINATE"
"0101DEL0025",-78.8703,42.932999
"0101HYDXXX1",-79.022324,43.100662
"0101OPP5774",-78.903702,43.093601
"0102AKR0013",-78.357597,42.8675
"0102ATT0020",-78.258202,42.830898
"0102ATT0020A",-78.226601,42.7859
"0102DAN5777",-78.704598,43.062
"0102FAU0021A",-78.287399,42.645199
"0102GOU0016E",-78.208,42.8064
"0102HAR5128",-78.430702,42.905201
"0102LA 5022",-78.781197,43.004299
"0103ORC5454",-78.6511,42.690399
"0103UWB5338",-78.831902,42.830502
"0103UWB5343",-78.859001,42.847099
"0103UWB5479",-78.383003,42.669399
"0103UWB5480",-78.381897,42.6726
"0104CLE0100",-78.852997,42.553501
"0104CRA5666",-78.656601,42.391998
"0104CRY0147",-78.343399,42.463699
"0104GRE5309",-78.751404,42.757301
"0104HIR5501",-78.335899,42.544498
"0104HOL5678",-78.861603,42.448502
"0104SKI0141",-78.377502,42.481201
"0104SUC0132",-78.503601,42.4366
"0105BRO0160K",-79.426102,42.368099
"0105FRE0160",-79.311096,42.391998
"0105MIN0165A",-79.575798,42.296299
"0105SIL0157",-79.093399,42.468498
"0201ALL5357",-78.946871,42.030537
"0201ALM5535",-78.001404,42.014099
"0201CAS0109C",-78.440697,42.324402
"0201HAR0110A",-78.380402,42.382999
"0201LIN0097A",-78.830498,42.273102
"0201QUA5359",-78.867798,42.043301
"0201RED0095B",-78.744598,42.102798
"0201SCI0090B",-78.766197,42.011101
"0202BEA0131",-79.383904,42.346802
"0202CHA0122",-79.4385,42.202801
"0202CLY0150",-79.626503,42.0149
"0202LCA0133",-79.317299,42.345501
"0202MCA0135",-79.325798,42.346699
"0202NEW5669",-78.909698,42.299801
"0202UCA0136",-79.3256,42.357399
"0202UWB5581",-79.5261,42.087299
"0202WMU0145",-79.178299,42.400501
"0301BON0190B",-78.916702,43.181599
"0301BUC0153",-77.668496,43.281359
"0301CRA0155",-77.697304,43.300499
"0301GLE0167",-78.389099,43.233398
"0301GOO0167O",-78.276802,43.118698
"0301LON0154",-77.69364,43.2897
"0301MID0177A",-78.475197,43.188999
"0301UWB0153D",-77.690498,43.2799
"0301UWB0190A",-78.9263,43.183201
"0301WAT0166",-78.258499,43.3213
"0302BLI0077",-76.728302,43.338299
"0302DEE0142",-77.570503,43.022999
"0302DUR0148A",-77.557602,43.233299
"0302EAS0093",-76.891899,43.2901
"0302EAS0148E",-77.563103,43.2332
"0302IRO0113",-77.522003,43.191799
"0302LSO0076",-76.709198,43.330502
"0302MIL0092",-76.7658,43.169701
"0302POR0089",-76.8321,43.2976
"0302SIL0065",-76.549599,43.378101
"0302THE0069",-76.695503,43.341
"0303COA0048",-75.975601,43.406601
"0303FLO1030C",-76.198502,43.721199
"0303GOO1037B",-76.198196,43.7155
"0303HYD0391",-75.833198,44.243599
"0303LAK1031",-76.206596,43.748901
"0303LIG0018A",-75.962303,43.526501
"0303LOR0052",-75.960602,43.457199
"0303MOS0031A",-76.0037,43.4664
"0303NCO1039B",-76.198097,43.707298
"0303NOR1041",-76.176002,43.6535
"0303SAL0019A",-75.894798,43.548
"0303SCO1039A",-76.194298,43.699501
"0303SIX1030",-76.1269,43.828999
"0303SOU0001",-76.1912,43.622601
"0303STM0042",-76.032402,43.423599
"0303WHI0048A",-75.989304,43.4338
"0402CON0067",-77.718697,42.752201
"0402DEW5227",-78.159897,42.991501
"0402GOD0017",-78.112198,43.027401
"0402MIL0016",-78.056999,43.083599
"0402UWB5160",-77.668602,42.9011
"0403AND0164",-77.793602,42.1656
"0403ROC0155",-78.148598,42.3064
"0403RUS0146",-78.192703,42.3806
"0403SIL0115",-78.034798,42.687199
"0404NUN0084A",-77.916298,42.540501
"0501ELD0014",-76.817001,42.1138
"0501ELM0019",-76.849701,42.1092
"0501HOFXXX1",-76.85851,42.11763
"0501LOW0021",-76.911797,42.146
"0501MIL0016",-76.792198,42.0714
"0501UWB5006",-76.667396,42.231201
"0501UWB5107",-77.0802,42.115299
"0501UWB5668",-76.780403,42.1949
"0501WAV0009",-76.555603,42.0126
"0501WEY0012",-76.802803,42.106899
"0502BIR5140",-77.152397,42.377998
"0502CIN0038",-77.011703,42.278999
"0502LAM0047",-77.077797,42.4058
"0502LOU0071",-77.444298,42.393501
"0502MUD0063",-77.279198,42.491402
"0502PET0042",-77.186401,42.316002
"0502ROU0046",-77.180099,42.322102
"0502SAN0043",-77.178398,42.330898
"0502TOBXXX1",-77.077812,42.405809
"0502UWB5192",-77.326103,42.317799
"0502VAN0045",-77.177803,42.3255
"0502WAN0048",-77.101799,42.4445
"0503AGT5287",-77.819702,42.2672
"0503ALM0029C",-77.712402,42.346401
"0503ERW0023B",-77.171204,42.1577
"0503GOO0027",-77.270897,42.1824
"0503HOR0034",-77.632103,42.3862
"0503HOR0035",-77.625298,42.391899
"0503HOR0036",-77.623901,42.399502
"0503UWB5183",-77.209099,42.087502
"0601ARN0362",-75.0047,42.611401
"0601BEA0359",-74.680397,42.6884
"0601CAN0392",-75.006103,42.8153
"0601CHI5787",-75.3153,42.911499
"0601CRU0366",-74.921799,42.557701
"0601ESI0262",-75.2145,42.327599
"0601FLY0335",-74.608002,42.592701
"0601GIL0287",-75.128304,42.580002
"0601GOE0378",-74.974197,42.625599
"0601GOO0360",-74.9748,42.5252
"0601HUN0215",-75.3722,42.5923
"0601SIL0216",-75.330498,42.599998
"0601SUM0411",-74.8489,42.860802
"0601TIT0320",-74.712799,42.501701
"0601UWB0229",-75.3591,42.625198
"0601WEA0409",-74.931297,42.853901
"0601WIL0297",-75.051002,42.516701
"0601YOU0408",-74.921303,42.8442
"0602BAL5648",-75.763,42.551899
"0602DEA0036",-76.003403,42.4477
"0602EAR0146",-75.5578,42.760601
"0602GLO0040",-75.953697,42.492699
"0602LLE1052",-75.573303,42.8727
"0602LLY5637",-76.163902,42.692402
"0602LON0083",-75.845001,42.4193
"0602LUD0099",-75.708801,42.4655
"0602ROU0082",-75.838402,42.399799
"0602SHA5677",-76.008003,42.791801
"0602SPR0050A",-76.026901,42.799702
"0602STE0101",-75.6661,42.525799
"0602ULE1053",-75.577499,42.879501
"0602WHA5659",-75.700996,42.5299
"0602WHI5358",-75.977203,42.3661
"0603CAY0008",-76.735298,42.367001
"0603GREXXX1",-76.09166,42.28687
"0603SPE0013",-76.5,42.247299
"0701CRO0007",-76.379204,43.418598
"0701CRO0185",-76.4692,43.111
"0701GRE5021",-76.335098,43.204102
"0701MUD0008",-76.362297,43.441502
"0701MUD0013",-76.4095,43.181198
"0701NEA0009",-76.437202,43.308102
"0701OTT0198",-76.533096,43.140099
"0701PAR0197",-76.558098,43.161499
"0701UWB5036",-76.314003,43.195499
"0702HIA0156",-76.168701,43.025799
"0702ONO0154",-76.210403,43.0891
"0702OTI0175",-76.279404,42.8591
"0703BLA0111",-75.942299,43.487701
"0703BUL0076",-75.537598,43.395801
"0703CAR0095",-75.902,43.344601
"0703CAZ0153",-75.872002,42.9482
"0703CHA0038A",-75.988197,43.3535
"0703DUT0034A",-75.959396,43.292301
"0703FRA0035",-75.934998,43.2887
"0703GRE0112C",-75.933601,43.479599
"0703GRE0147",-75.966301,43.050499
"0703JAM0144",-76.069099,42.973999
"0703KIB0042",-75.966499,43.269501
"0703NOR0040",-75.996201,43.369099
"0703ONE0026",-75.910004,43.2033
"0703ONE0073",-75.622597,43.368599
"0703PEN0016",-76.2677,43.2854
"0703ROM5276",-75.593697,43.442799
"0703ROU0148",-75.975304,43.047798
"0703SUN0120",-75.606598,43.057301
"0703TEM0017",-76.259499,43.284
"0703UWB0081",-75.565903,43.6586
"0703UWB0122",-75.647697,43.059101
"0703UWB5181",-75.894501,43.337799
"0703VAN0044",-75.907501,43.258202
"0704CAN0286",-77.305099,42.778
"0704FAI0263A",-77.437798,42.937401
"0704JUN0238",-76.944199,42.961601
"0704JUN0240",-76.949699,42.956402
"0704NEW0273",-77.0933,42.9347
"0704UWB5422",-76.798897,43.005699
"0705BEE0308",-76.476303,42.451199
"0705CAY0296",-76.702103,42.688301
"0705COM0333",-76.302498,42.6772
"0705DRY0318",-76.272598,42.462002
"0705ITH0340B",-76.4599,42.414001
"0705JEN0349",-76.487602,42.344799
"0705KEU0388",-77.139504,42.493401
"0705SEN0369",-76.896473,42.669266
"0705TRE0347A",-76.511299,42.398601
"0705VAN0366A",-76.791298,42.913101
"0706OWA0212",-76.528198,42.873798
"0707SKA0193",-76.350304,42.8451
"0801BEL0423",-75.329803,43.926998
"0801BUG0789",-74.729698,43.768799
"0801CHI0776",-74.829201,43.8302
"0801COP0710",-75.142998,43.6637
"0801CRY0595",-75.275703,43.838501
"0801DAR0750",-74.862701,43.796001
"0801EIG0790",-74.7024,43.778999
"0801ELM0425",-75.283897,43.923901
"0801FIS0614",-75.259499,43.7784
"0801FOR0944",-75.204803,43.433701
"0801FOU0782D",-74.8181,43.758999
"0801FRA0451",-75.171402,43.8526
"0801GUL0969",-75.058899,43.5518
"0801HIG0418",-75.369102,43.928001
"0801IND0647",-74.978203,43.772701
"0801KAY0984A",-75.173897,43.3997
"0801LIL0541",-74.763,44.002998
"0801LIM0826",-74.799499,43.712601
"0801LON0610",-75.268204,43.779201
"0801LON0922",-75.155899,43.5527
"0801LSA0735",-74.967697,43.755798
"0801MEI0420",-75.247398,43.9566
"0801MOS0478",-75.094902,43.892101
"0801NIC0804",-74.992599,43.673599
"0801OTT0926",-75.114601,43.592098
"0801PAY0620",-75.290298,43.795299
"0801PLE0395",-75.693298,43.939602
"0801ROU0907",-75.142502,43.597401
"0801ROU5512",-74.972298,43.738201
"0801SAN0436",-75.160004,43.9492
"0801SIX0787",-74.773201,43.747601
"0801STI0493",-74.9543,43.912701
"0801UWB0692",-75.2827,43.694
"0801UWB5460",-75.350304,43.5513
"0801UWB5593",-74.866096,43.569599
"0801UWB5614",-75.233902,43.473701
"0801WHE5670",-75.508598,43.6721
"0801WOO0982",-74.984703,43.591999
"0902ARQ0103A",-74.603798,44.5107
"0902BAR0262",-74.259499,44.459999
"0902DEE0073",-74.300796,44.650902
"0902LSA0257A",-74.255898,44.429401
"0902MOU0198",-74.274803,44.475102
"0902SLU0245",-74.315804,44.469799
"0902SPI0264",-74.272797,44.416401
"0902TWI0002B",-73.966103,44.670399
"0902WHI0158",-74.301399,44.3769
"0902WOL0065",-74.059998,44.6464
"0903BLA0029A",-74.756103,44.4814
"0903BLU0307",-74.457298,43.8587
"0903BRI0178",-74.583198,44.1632
"0903EAG0306",-74.475601,43.8493
"0903EAT0248",-74.4664,43.978901
"0903FOL0186",-74.377998,44.156502
