"","event_smas_history_id","event_smas_sample_date","parameter_name","result_value","fraction","unit_nosp","match","year","US_L3CODE","US_L3NAME","NA_L3CODE","NA_L3NAME","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","STATE_NAME","EPA_REGION","L3_KEY","L2_KEY","L1_KEY"
"1","01-BEAM-0.1",2005-09-14,"SPECIFIC CONDUCTANCE",435,NA,"uS/cm","01-BEAM-0.1_2005-09-14",2005,"60","Northern Allegheny Plateau","8.1.3","Northern Allegheny Plateau","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"60  Northern Allegheny Plateau","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"2","01-BELS-2.7",2010-09-01,"SPECIFIC CONDUCTANCE",425,NA,"uS/cm","01-BELS-2.7_2010-09-01",2010,"61","Erie Drift Plain","8.1.10","Erie Drift Plain","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"61  Erie Drift Plain","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"3","01-BEVC-1.1",2005-09-13,"SPECIFIC CONDUCTANCE",376,NA,"uS/cm","01-BEVC-1.1_2005-09-13",2005,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"4","01-BIND-1.9",2005-09-13,"SPECIFIC CONDUCTANCE",368,NA,"uS/cm","01-BIND-1.9_2005-09-13",2005,"61","Erie Drift Plain","8.1.10","Erie Drift Plain","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"61  Erie Drift Plain","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"5","01-BLAS-0.1",2011-07-26,"SPECIFIC CONDUCTANCE",444,NA,"uS/cm","01-BLAS-0.1_2011-07-26",2011,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"6","01-BLAS-0.1",2020-09-16,"SPECIFIC CONDUCTANCE",375.3,NA,"uS/cm","01-BLAS-0.1_2020-09-16",2020,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"7","01-BMAN-0.3",2015-08-04,"SPECIFIC CONDUCTANCE",1820,NA,"uS/cm","01-BMAN-0.3_2015-08-04",2015,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"8","01-BOUR-0.4",2015-08-05,"SPECIFIC CONDUCTANCE",476,NA,"uS/cm","01-BOUR-0.4_2015-08-05",2015,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"9","01-BROC-0.1",2015-08-05,"SPECIFIC CONDUCTANCE",313,NA,"uS/cm","01-BROC-0.1_2015-08-05",2015,"61","Erie Drift Plain","8.1.10","Erie Drift Plain","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"61  Erie Drift Plain","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"10","01-BSIS-11.4",2005-09-13,"SPECIFIC CONDUCTANCE",434,NA,"uS/cm","01-BSIS-11.4_2005-09-13",2005,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
