"","event_smas_history_id","event_smas_sample_date","parameter_name","result_value","fraction","unit_nosp","method_detect_limit","validator_qual","match","old_id","name","previous_name","basin","location","rivmile","huc8","rib_id","station","desc","city_town","county","fips_cde","dec_region","nhd_reachcode","nhd_m_value","pwl_id","watershed_id_num","wq_standard","eco_region","habitat_type","condition","drainage","ntl_elevation_dataset_10","US_L3CODE","US_L3NAME","NA_L3CODE","NA_L3NAME","NA_L2CODE","NA_L2NAME","NA_L1CODE","NA_L1NAME","STATE_NAME","EPA_REGION","L3_KEY","L2_KEY","L1_KEY"
"1","01-BOUR-0.4",2016-04-21,"TOTAL DISSOLVED SOLIDS",178,"DISSOLVED","mg/L",4,"0","01-BOUR-0.4_2016-04-21","2368","Bourne Creek","BOUR-01 (pre-2016)",1,"BOUR",0.4,4120101,"1053400","1","rte 5 bridge.","Westfield","Chautauqua",13,9,NA,NA,"0105-0024","E-61","C",7,NA,NA,7.93,187.351,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"2","01-BOUR-0.4",2016-06-14,"TOTAL DISSOLVED SOLIDS",304,"DISSOLVED","mg/L",4,"0","01-BOUR-0.4_2016-06-14","2368","Bourne Creek","BOUR-01 (pre-2016)",1,"BOUR",0.4,4120101,"1053400","1","rte 5 bridge.","Westfield","Chautauqua",13,9,NA,NA,"0105-0024","E-61","C",7,NA,NA,7.93,187.351,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"3","01-BOUR-0.4",2016-10-26,"TOTAL DISSOLVED SOLIDS",235,"DISSOLVED","mg/L",4,"0","01-BOUR-0.4_2016-10-26","2368","Bourne Creek","BOUR-01 (pre-2016)",1,"BOUR",0.4,4120101,"1053400","1","rte 5 bridge.","Westfield","Chautauqua",13,9,NA,NA,"0105-0024","E-61","C",7,NA,NA,7.93,187.351,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"4","01-BOUR-0.4",2016-08-02,"TOTAL DISSOLVED SOLIDS",235,"DISSOLVED","mg/L",4,"0","01-BOUR-0.4_2016-08-02","2368","Bourne Creek","BOUR-01 (pre-2016)",1,"BOUR",0.4,4120101,"1053400","1","rte 5 bridge.","Westfield","Chautauqua",13,9,NA,NA,"0105-0024","E-61","C",7,NA,NA,7.93,187.351,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"5","01-BOUR-0.4",2016-09-22,"TOTAL DISSOLVED SOLIDS",381,"DISSOLVED","mg/L",4,"0","01-BOUR-0.4_2016-09-22","2368","Bourne Creek","BOUR-01 (pre-2016)",1,"BOUR",0.4,4120101,"1053400","1","rte 5 bridge.","Westfield","Chautauqua",13,9,NA,NA,"0105-0024","E-61","C",7,NA,NA,7.93,187.351,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"6","01-BOUR-0.4",2016-05-10,"TOTAL DISSOLVED SOLIDS",178,"DISSOLVED","mg/L",4,"0","01-BOUR-0.4_2016-05-10","2368","Bourne Creek","BOUR-01 (pre-2016)",1,"BOUR",0.4,4120101,"1053400","1","rte 5 bridge.","Westfield","Chautauqua",13,9,NA,NA,"0105-0024","E-61","C",7,NA,NA,7.93,187.351,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"7","01-BSIS-2.0",2001-04-18,"TOTAL DISSOLVED SOLIDS",205,"DISSOLVED","mg/L",NA,"0","01-BSIS-2.0_2001-04-18","108","Big Sister Creek","BSIS-01 (pre-2017)",1,"BSIS",2,4120103,"01041202B","1","20 m below rt. 5 bridge.","Evans","Erie",29,9,NA,NA,"0104-0013","E-2","C(T)",7,NA,NA,0.09,182.5146,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"8","01-BSIS-2.0",2001-10-25,"TOTAL DISSOLVED SOLIDS",365,"DISSOLVED","mg/L",NA,"0","01-BSIS-2.0_2001-10-25","108","Big Sister Creek","BSIS-01 (pre-2017)",1,"BSIS",2,4120103,"01041202B","1","20 m below rt. 5 bridge.","Evans","Erie",29,9,NA,NA,"0104-0013","E-2","C(T)",7,NA,NA,0.09,182.5146,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"9","01-BSIS-2.0",2001-09-19,"TOTAL DISSOLVED SOLIDS",385,"DISSOLVED","mg/L",NA,"0","01-BSIS-2.0_2001-09-19","108","Big Sister Creek","BSIS-01 (pre-2017)",1,"BSIS",2,4120103,"01041202B","1","20 m below rt. 5 bridge.","Evans","Erie",29,9,NA,NA,"0104-0013","E-2","C(T)",7,NA,NA,0.09,182.5146,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"10","01-BSIS-2.0",2001-06-06,"TOTAL DISSOLVED SOLIDS",237,"DISSOLVED","mg/L",NA,"0","01-BSIS-2.0_2001-06-06","108","Big Sister Creek","BSIS-01 (pre-2017)",1,"BSIS",2,4120103,"01041202B","1","20 m below rt. 5 bridge.","Evans","Erie",29,9,NA,NA,"0104-0013","E-2","C(T)",7,NA,NA,0.09,182.5146,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"11","01-BSIS-2.0",2001-07-02,"TOTAL DISSOLVED SOLIDS",347,"DISSOLVED","mg/L",NA,"0","01-BSIS-2.0_2001-07-02","108","Big Sister Creek","BSIS-01 (pre-2017)",1,"BSIS",2,4120103,"01041202B","1","20 m below rt. 5 bridge.","Evans","Erie",29,9,NA,NA,"0104-0013","E-2","C(T)",7,NA,NA,0.09,182.5146,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"12","01-BSIS-2.0",2001-11-14,"TOTAL DISSOLVED SOLIDS",329,"DISSOLVED","mg/L",NA,"0","01-BSIS-2.0_2001-11-14","108","Big Sister Creek","BSIS-01 (pre-2017)",1,"BSIS",2,4120103,"01041202B","1","20 m below rt. 5 bridge.","Evans","Erie",29,9,NA,NA,"0104-0013","E-2","C(T)",7,NA,NA,0.09,182.5146,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"13","01-BSIS-2.0",2001-07-24,"TOTAL DISSOLVED SOLIDS",428,"DISSOLVED","mg/L",NA,"0","01-BSIS-2.0_2001-07-24","108","Big Sister Creek","BSIS-01 (pre-2017)",1,"BSIS",2,4120103,"01041202B","1","20 m below rt. 5 bridge.","Evans","Erie",29,9,NA,NA,"0104-0013","E-2","C(T)",7,NA,NA,0.09,182.5146,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"14","01-BSIS-2.0",2001-10-02,"TOTAL DISSOLVED SOLIDS",379,"DISSOLVED","mg/L",NA,"0","01-BSIS-2.0_2001-10-02","108","Big Sister Creek","BSIS-01 (pre-2017)",1,"BSIS",2,4120103,"01041202B","1","20 m below rt. 5 bridge.","Evans","Erie",29,9,NA,NA,"0104-0013","E-2","C(T)",7,NA,NA,0.09,182.5146,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"15","01-BSIS-2.0",2001-05-10,"TOTAL DISSOLVED SOLIDS",298,"DISSOLVED","mg/L",NA,"0","01-BSIS-2.0_2001-05-10","108","Big Sister Creek","BSIS-01 (pre-2017)",1,"BSIS",2,4120103,"01041202B","1","20 m below rt. 5 bridge.","Evans","Erie",29,9,NA,NA,"0104-0013","E-2","C(T)",7,NA,NA,0.09,182.5146,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"16","01-BSIS-8.6",2011-09-12,"TOTAL DISSOLVED SOLIDS",119,"DISSOLVED","mg/L",NA,"0","01-BSIS-8.6_2011-09-12","3137","Big Sister Creek","BSIS-01A (pre-2017)",1,"BSIS",8.6,4120103,"1041208","01A","between pontiac and versailles rd. bridge. split in stream.","Evans","Erie",29,9,NA,NA,"0104-0047","E-2","C",7,NA,NA,68.56,213.2579,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"17","01-BSIS-8.6",2011-08-17,"TOTAL DISSOLVED SOLIDS",191,"DISSOLVED","mg/L",NA,"0","01-BSIS-8.6_2011-08-17","3137","Big Sister Creek","BSIS-01A (pre-2017)",1,"BSIS",8.6,4120103,"1041208","01A","between pontiac and versailles rd. bridge. split in stream.","Evans","Erie",29,9,NA,NA,"0104-0047","E-2","C",7,NA,NA,68.56,213.2579,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"18","01-BSIS-8.6",2011-10-12,"TOTAL DISSOLVED SOLIDS",190,"DISSOLVED","mg/L",NA,"0","01-BSIS-8.6_2011-10-12","3137","Big Sister Creek","BSIS-01A (pre-2017)",1,"BSIS",8.6,4120103,"1041208","01A","between pontiac and versailles rd. bridge. split in stream.","Evans","Erie",29,9,NA,NA,"0104-0047","E-2","C",7,NA,NA,68.56,213.2579,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"19","01-BSIS-8.6",2011-11-01,"TOTAL DISSOLVED SOLIDS",158,"DISSOLVED","mg/L",NA,"0","01-BSIS-8.6_2011-11-01","3137","Big Sister Creek","BSIS-01A (pre-2017)",1,"BSIS",8.6,4120103,"1041208","01A","between pontiac and versailles rd. bridge. split in stream.","Evans","Erie",29,9,NA,NA,"0104-0047","E-2","C",7,NA,NA,68.56,213.2579,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"20","01-BSIS-8.6",2011-04-12,"TOTAL DISSOLVED SOLIDS",160,"DISSOLVED","mg/L",NA,"0","01-BSIS-8.6_2011-04-12","3137","Big Sister Creek","BSIS-01A (pre-2017)",1,"BSIS",8.6,4120103,"1041208","01A","between pontiac and versailles rd. bridge. split in stream.","Evans","Erie",29,9,NA,NA,"0104-0047","E-2","C",7,NA,NA,68.56,213.2579,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"21","01-BSIS-8.6",2011-06-14,"TOTAL DISSOLVED SOLIDS",205,"DISSOLVED","mg/L",NA,"0","01-BSIS-8.6_2011-06-14","3137","Big Sister Creek","BSIS-01A (pre-2017)",1,"BSIS",8.6,4120103,"1041208","01A","between pontiac and versailles rd. bridge. split in stream.","Evans","Erie",29,9,NA,NA,"0104-0047","E-2","C",7,NA,NA,68.56,213.2579,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"22","01-BSIS-8.6",2011-07-20,"TOTAL DISSOLVED SOLIDS",241,"DISSOLVED","mg/L",NA,"0","01-BSIS-8.6_2011-07-20","3137","Big Sister Creek","BSIS-01A (pre-2017)",1,"BSIS",8.6,4120103,"1041208","01A","between pontiac and versailles rd. bridge. split in stream.","Evans","Erie",29,9,NA,NA,"0104-0047","E-2","C",7,NA,NA,68.56,213.2579,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"23","01-BSIS-8.6",2011-05-03,"TOTAL DISSOLVED SOLIDS",122,"DISSOLVED","mg/L",NA,"0","01-BSIS-8.6_2011-05-03","3137","Big Sister Creek","BSIS-01A (pre-2017)",1,"BSIS",8.6,4120103,"1041208","01A","between pontiac and versailles rd. bridge. split in stream.","Evans","Erie",29,9,NA,NA,"0104-0047","E-2","C",7,NA,NA,68.56,213.2579,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"24","01-BSIS-8.6",2011-05-24,"TOTAL DISSOLVED SOLIDS",109,"DISSOLVED","mg/L",NA,"0","01-BSIS-8.6_2011-05-24","3137","Big Sister Creek","BSIS-01A (pre-2017)",1,"BSIS",8.6,4120103,"1041208","01A","between pontiac and versailles rd. bridge. split in stream.","Evans","Erie",29,9,NA,NA,"0104-0047","E-2","C",7,NA,NA,68.56,213.2579,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
"25","01-BSIS-8.6",2011-06-28,"TOTAL DISSOLVED SOLIDS",170,"DISSOLVED","mg/L",NA,"0","01-BSIS-8.6_2011-06-28","3137","Big Sister Creek","BSIS-01A (pre-2017)",1,"BSIS",8.6,4120103,"1041208","01A","between pontiac and versailles rd. bridge. split in stream.","Evans","Erie",29,9,NA,NA,"0104-0047","E-2","C",7,NA,NA,68.56,213.2579,"83","Eastern Great Lakes Lowlands","8.1.1","Eastern Great Lakes Lowlands","8.1","MIXED WOOD PLAINS","8","EASTERN TEMPERATE FORESTS","New York",2,"83  Eastern Great Lakes Lowlands","8.1  MIXED WOOD PLAINS","8  EASTERN TEMPERATE FORESTS"
